row_1,row_2,row_3,row_4,solution_count
blue hippo;blue giraffe;green giraffe;blue lion,green camel;red lion;red giraffe;green lion,red hippo;yellow lion;yellow camel;blue camel,yellow hippo;green hippo;yellow giraffe;red camel,12
red lion;green giraffe;blue hippo;green lion,green hippo;yellow giraffe;blue lion;red camel,red hippo;red giraffe;green camel;yellow lion,blue giraffe;blue camel;yellow camel;yellow hippo,74
blue camel;red hippo;green lion;yellow giraffe,blue hippo;green camel;blue lion;red camel,green giraffe;green hippo;yellow hippo;red lion,blue giraffe;yellow camel;red giraffe;yellow lion,6
green giraffe;green camel;red lion;yellow lion,red hippo;red camel;blue giraffe;yellow hippo,blue lion;green lion;blue hippo;yellow giraffe,red giraffe;yellow camel;green hippo;blue camel,4
green hippo;green camel;green lion;yellow giraffe,blue hippo;green giraffe;yellow camel;red camel,blue camel;blue lion;red giraffe;yellow lion,red hippo;yellow hippo;blue giraffe;red lion,301
yellow camel;red giraffe;green hippo;yellow giraffe,blue hippo;blue lion;blue giraffe;blue camel,red hippo;green lion;green giraffe;yellow lion,red lion;green camel;red camel;yellow hippo,11
green giraffe;red hippo;green lion;blue camel,yellow hippo;green camel;blue lion;blue hippo,red camel;yellow camel;red lion;yellow giraffe,green hippo;red giraffe;blue giraffe;yellow lion,14
blue lion;red camel;blue camel;yellow hippo,red lion;green lion;yellow giraffe;green hippo,red hippo;green giraffe;red giraffe;yellow camel,yellow lion;green camel;blue hippo;blue giraffe,56
red hippo;yellow hippo;green hippo;red camel,blue camel;blue lion;blue giraffe;red giraffe,red lion;green giraffe;green lion;yellow giraffe,green camel;blue hippo;yellow lion;yellow camel,56
red lion;yellow giraffe;green hippo;green camel,red camel;red giraffe;blue hippo;blue giraffe,blue lion;red hippo;yellow lion;yellow camel,blue camel;green lion;yellow hippo;green giraffe,71
blue giraffe;blue camel;green giraffe;yellow hippo,blue lion;red hippo;red giraffe;green hippo,red lion;yellow lion;yellow giraffe;red camel,green camel;yellow camel;blue hippo;green lion,3
green camel;blue lion;blue camel;green giraffe,red giraffe;blue giraffe;yellow camel;green lion,red hippo;yellow lion;red lion;yellow hippo,yellow giraffe;green hippo;red camel;blue hippo,0
red hippo;green lion;red camel;blue hippo,blue giraffe;yellow lion;yellow giraffe;red lion,green giraffe;yellow hippo;green camel;red giraffe,yellow camel;green hippo;blue camel;blue lion,0
yellow giraffe;blue camel;yellow lion;green hippo,green camel;red hippo;green giraffe;yellow camel,red giraffe;yellow hippo;red camel;red lion,blue hippo;blue lion;green lion;blue giraffe,0
red camel;green giraffe;green lion;yellow hippo,red lion;blue camel;green camel;green hippo,red giraffe;yellow giraffe;blue giraffe;red hippo,blue hippo;blue lion;yellow camel;yellow lion,223
yellow giraffe;yellow hippo;blue giraffe;yellow camel,red giraffe;green camel;yellow lion;green hippo,green lion;red camel;green giraffe;blue lion,blue hippo;blue camel;red lion;red hippo,0
blue giraffe;yellow camel;blue lion;yellow giraffe,red hippo;green hippo;blue hippo;red lion,red giraffe;blue camel;yellow hippo;yellow lion,green giraffe;red camel;green camel;green lion,114
yellow camel;green camel;green giraffe;blue lion,blue camel;red lion;blue giraffe;red giraffe,yellow giraffe;yellow hippo;red camel;red hippo,green hippo;blue hippo;yellow lion;green lion,18
yellow camel;yellow giraffe;green lion;green camel,red lion;red camel;red giraffe;yellow hippo,yellow lion;blue camel;blue hippo;red hippo,green giraffe;blue lion;blue giraffe;green hippo,224
green lion;green hippo;blue camel;yellow giraffe,red lion;red hippo;green giraffe;red giraffe,blue hippo;red camel;blue lion;blue giraffe,yellow camel;yellow hippo;yellow lion;green camel,21
yellow camel;yellow hippo;blue camel;blue lion,green giraffe;red hippo;red lion;green camel,green lion;green hippo;yellow lion;yellow giraffe,blue giraffe;red giraffe;red camel;blue hippo,47
yellow hippo;green camel;green hippo;green lion,yellow lion;blue hippo;blue giraffe;blue camel,red lion;yellow giraffe;yellow camel;red giraffe,blue lion;green giraffe;red hippo;red camel,41
blue camel;green lion;red hippo;blue hippo,yellow hippo;green hippo;blue lion;yellow camel,yellow giraffe;red camel;green giraffe;yellow lion,green camel;red giraffe;blue giraffe;red lion,2
yellow lion;red lion;green camel;green giraffe,yellow camel;red camel;blue giraffe;yellow hippo,green hippo;yellow giraffe;blue hippo;blue camel,red giraffe;green lion;blue lion;red hippo,3
yellow hippo;green lion;blue camel;blue giraffe,yellow camel;red lion;red hippo;green camel,red camel;red giraffe;green hippo;yellow giraffe,blue hippo;green giraffe;blue lion;yellow lion,86
blue giraffe;blue camel;blue hippo;yellow hippo,yellow camel;red camel;green giraffe;red giraffe,green hippo;red hippo;blue lion;green lion,yellow lion;red lion;yellow giraffe;green camel,0
blue camel;yellow hippo;blue lion;green camel,blue hippo;yellow camel;yellow lion;yellow giraffe,green giraffe;red camel;red giraffe;red lion,green hippo;red hippo;green lion;blue giraffe,2
blue hippo;red camel;blue camel;yellow giraffe,green giraffe;yellow lion;green camel;green lion,red lion;blue giraffe;blue lion;yellow hippo,red hippo;red giraffe;yellow camel;green hippo,37
red hippo;yellow lion;green camel;yellow hippo,yellow giraffe;green giraffe;yellow camel;green hippo,red lion;green lion;blue hippo;red camel,red giraffe;blue lion;blue giraffe;blue camel,192
green lion;green camel;blue camel;red lion,green giraffe;red camel;blue lion;red hippo,blue giraffe;blue hippo;green hippo;yellow camel,yellow hippo;red giraffe;yellow lion;yellow giraffe,20
yellow giraffe;blue lion;red hippo;yellow lion,green giraffe;yellow camel;green hippo;red giraffe,red lion;red camel;blue camel;green lion,blue hippo;blue giraffe;yellow hippo;green camel,0
green camel;blue giraffe;blue hippo;green hippo,red hippo;red giraffe;green giraffe;yellow lion,red lion;blue camel;yellow camel;green lion,yellow hippo;yellow giraffe;blue lion;red camel,2
yellow giraffe;yellow camel;blue giraffe;yellow hippo,green lion;green hippo;blue lion;blue hippo,red hippo;green giraffe;blue camel;red lion,red camel;green camel;yellow lion;red giraffe,10
yellow lion;blue giraffe;blue camel;yellow camel,yellow hippo;green hippo;blue hippo;green lion,red camel;green camel;red lion;green giraffe,red giraffe;blue lion;yellow giraffe;red hippo,0
yellow giraffe;blue giraffe;green giraffe;blue camel,yellow lion;yellow hippo;green camel;red hippo,green hippo;red lion;blue lion;red giraffe,green lion;blue hippo;yellow camel;red camel,97
green hippo;red lion;yellow camel;blue giraffe,red giraffe;green camel;green lion;blue hippo,blue lion;yellow giraffe;green giraffe;yellow lion,red camel;red hippo;yellow hippo;blue camel,0
yellow giraffe;yellow camel;blue giraffe;green giraffe,yellow hippo;red hippo;green lion;red lion,red giraffe;blue camel;yellow lion;red camel,green hippo;green camel;blue lion;blue hippo,8
green lion;yellow hippo;blue giraffe;yellow camel,green giraffe;yellow giraffe;blue hippo;green hippo,red lion;red hippo;yellow lion;green camel,blue lion;blue camel;red giraffe;red camel,3
blue hippo;green lion;green giraffe;blue giraffe,yellow giraffe;red lion;green hippo;red giraffe,green camel;blue camel;yellow lion;red hippo,blue lion;yellow camel;yellow hippo;red camel,19
yellow lion;blue hippo;blue lion;yellow giraffe,red camel;yellow camel;yellow hippo;green hippo,green camel;red hippo;green lion;red lion,green giraffe;red giraffe;blue giraffe;blue camel,8
yellow camel;blue hippo;yellow hippo;red camel,red giraffe;green camel;green lion;yellow lion,yellow giraffe;blue camel;green hippo;blue lion,blue giraffe;green giraffe;red hippo;red lion,722
red camel;yellow lion;blue hippo;blue camel,green lion;blue giraffe;red lion;green hippo,blue lion;red giraffe;green camel;yellow camel,red hippo;yellow hippo;yellow giraffe;green giraffe,19
green lion;yellow giraffe;red giraffe;yellow camel,red camel;yellow hippo;red lion;green giraffe,blue giraffe;yellow lion;red hippo;blue camel,blue lion;blue hippo;green camel;green hippo,2
green giraffe;yellow lion;yellow hippo;red hippo,yellow giraffe;red giraffe;green lion;blue giraffe,blue hippo;red lion;green hippo;blue camel,yellow camel;green camel;blue lion;red camel,0
blue lion;red lion;green camel;yellow lion,yellow giraffe;yellow camel;blue hippo;yellow hippo,green lion;red camel;green giraffe;green hippo,red hippo;blue camel;red giraffe;blue giraffe,0
yellow lion;blue camel;red hippo;yellow hippo,red camel;red giraffe;blue lion;green hippo,blue giraffe;yellow giraffe;red lion;green camel,green lion;blue hippo;green giraffe;yellow camel,6
blue hippo;blue giraffe;red lion;green giraffe,blue camel;yellow hippo;red giraffe;green camel,yellow giraffe;red camel;green hippo;yellow lion,blue lion;yellow camel;green lion;red hippo,0
red giraffe;blue lion;red lion;yellow camel,blue camel;red camel;green hippo;red hippo,green camel;green lion;yellow hippo;yellow lion,blue hippo;green giraffe;yellow giraffe;blue giraffe,41
red lion;green lion;green giraffe;blue giraffe,green camel;red camel;blue lion;yellow hippo,yellow lion;red hippo;green hippo;blue hippo,yellow giraffe;red giraffe;yellow camel;blue camel,147
yellow camel;red giraffe;green camel;blue lion,blue camel;red lion;green hippo;green giraffe,yellow lion;yellow giraffe;blue hippo;red hippo,yellow hippo;red camel;blue giraffe;green lion,111
green lion;yellow hippo;blue giraffe;red hippo,yellow giraffe;blue camel;red camel;blue hippo,green camel;yellow camel;blue lion;yellow lion,green giraffe;red giraffe;green hippo;red lion,21
blue camel;green giraffe;blue hippo;blue lion,green hippo;green camel;red lion;red hippo,blue giraffe;yellow camel;red camel;yellow hippo,red giraffe;yellow giraffe;green lion;yellow lion,63
yellow giraffe;red lion;green lion;red camel,blue giraffe;green camel;green giraffe;blue hippo,red giraffe;blue lion;green hippo;red hippo,yellow camel;yellow hippo;blue camel;yellow lion,6
red lion;red giraffe;yellow giraffe;green giraffe,red camel;blue hippo;blue giraffe;blue camel,red hippo;yellow hippo;yellow lion;green lion,blue lion;green hippo;green camel;yellow camel,872
yellow camel;red camel;blue lion;green hippo,blue hippo;blue giraffe;green giraffe;blue camel,red giraffe;yellow lion;yellow hippo;red hippo,green lion;yellow giraffe;red lion;green camel,9
yellow hippo;green camel;yellow camel;green lion,blue giraffe;red giraffe;yellow lion;green giraffe,green hippo;blue lion;red lion;yellow giraffe,blue camel;blue hippo;red camel;red hippo,13
blue hippo;yellow lion;blue camel;green camel,green lion;red giraffe;yellow camel;red camel,red hippo;green hippo;red lion;yellow hippo,blue giraffe;green giraffe;yellow giraffe;blue lion,48
red lion;blue hippo;blue giraffe;yellow hippo,blue camel;green camel;yellow giraffe;red hippo,yellow camel;red camel;yellow lion;blue lion,red giraffe;green hippo;green lion;green giraffe,20
blue giraffe;yellow camel;blue camel;yellow hippo,red lion;yellow lion;green giraffe;green lion,green camel;red hippo;blue hippo;yellow giraffe,blue lion;red giraffe;green hippo;red camel,6
blue giraffe;blue camel;green camel;red giraffe,yellow camel;green hippo;green lion;green giraffe,blue hippo;red camel;blue lion;yellow giraffe,red hippo;red lion;yellow lion;yellow hippo,458
red lion;yellow hippo;yellow lion;red giraffe,blue hippo;red hippo;yellow camel;blue giraffe,green lion;green giraffe;blue lion;yellow giraffe,green camel;red camel;blue camel;green hippo,27
red giraffe;red lion;green camel;green giraffe,yellow camel;blue giraffe;green lion;yellow hippo,red camel;yellow lion;green hippo;blue hippo,red hippo;blue lion;yellow giraffe;blue camel,68
green lion;red giraffe;blue hippo;red lion,green camel;blue giraffe;blue camel;green hippo,yellow camel;red hippo;red camel;yellow hippo,yellow lion;blue lion;yellow giraffe;green giraffe,0
yellow hippo;red giraffe;green hippo;green giraffe,blue giraffe;red camel;yellow lion;red lion,blue hippo;yellow giraffe;blue lion;green lion,green camel;red hippo;yellow camel;blue camel,0
green lion;green camel;green giraffe;blue lion,blue giraffe;red lion;red giraffe;yellow giraffe,red hippo;blue camel;red camel;green hippo,yellow lion;blue hippo;yellow camel;yellow hippo,8
yellow hippo;green lion;yellow giraffe;red camel,green hippo;red lion;blue giraffe;green camel,green giraffe;red giraffe;red hippo;yellow lion,yellow camel;blue hippo;blue lion;blue camel,44
green camel;yellow giraffe;red hippo;yellow hippo,green lion;red giraffe;red lion;blue camel,red camel;green hippo;blue hippo;blue lion,yellow camel;green giraffe;blue giraffe;yellow lion,272
yellow camel;blue lion;red lion;red giraffe,red hippo;green lion;green giraffe;blue giraffe,red camel;yellow giraffe;green hippo;green camel,blue camel;blue hippo;yellow lion;yellow hippo,182
green lion;red lion;green hippo;yellow giraffe,red hippo;red giraffe;red camel;blue lion,blue giraffe;green giraffe;green camel;blue camel,yellow lion;yellow hippo;yellow camel;blue hippo,86
green giraffe;green lion;red giraffe;blue giraffe,blue hippo;yellow camel;red hippo;green hippo,yellow giraffe;green camel;yellow hippo;yellow lion,red camel;red lion;blue camel;blue lion,0
red giraffe;red hippo;green giraffe;blue lion,yellow giraffe;blue hippo;green lion;blue camel,red lion;yellow lion;yellow hippo;blue giraffe,green hippo;yellow camel;green camel;red camel,72
blue giraffe;red lion;green hippo;blue lion,yellow giraffe;blue camel;blue hippo;green giraffe,red giraffe;yellow lion;yellow hippo;yellow camel,red camel;red hippo;green camel;green lion,114
yellow hippo;green camel;blue lion;green hippo,green giraffe;red hippo;blue hippo;yellow giraffe,yellow camel;blue camel;red lion;green lion,red camel;red giraffe;blue giraffe;yellow lion,49
red lion;green giraffe;green camel;yellow hippo,red giraffe;blue camel;red camel;red hippo,yellow camel;yellow giraffe;yellow lion;green lion,green hippo;blue giraffe;blue hippo;blue lion,21
green camel;red hippo;green giraffe;red camel,yellow hippo;green lion;blue camel;blue hippo,blue lion;blue giraffe;green hippo;red lion,red giraffe;yellow giraffe;yellow lion;yellow camel,0
blue lion;yellow camel;red hippo;blue giraffe,red camel;red lion;yellow giraffe;blue hippo,yellow hippo;green camel;blue camel;yellow lion,green lion;green giraffe;red giraffe;green hippo,0
blue camel;green giraffe;yellow lion;blue hippo,green hippo;red giraffe;yellow camel;green lion,red lion;green camel;red hippo;yellow giraffe,yellow hippo;blue lion;blue giraffe;red camel,0
red giraffe;red lion;yellow hippo;green lion,blue hippo;yellow giraffe;green camel;yellow lion,red hippo;green giraffe;yellow camel;green hippo,blue giraffe;blue camel;blue lion;red camel,52
green giraffe;green camel;red giraffe;green lion,red camel;yellow hippo;blue lion;blue camel,red lion;yellow camel;red hippo;green hippo,blue hippo;yellow lion;blue giraffe;yellow giraffe,0
yellow camel;green giraffe;yellow giraffe;red camel,red giraffe;yellow lion;red lion;blue giraffe,blue hippo;green hippo;red hippo;green lion,blue lion;yellow hippo;green camel;blue camel,4
red giraffe;blue camel;green lion;blue lion,blue hippo;yellow lion;yellow giraffe;red lion,green giraffe;yellow hippo;green camel;yellow camel,red hippo;red camel;blue giraffe;green hippo,0
blue camel;blue giraffe;green lion;yellow hippo,yellow camel;green camel;red lion;green giraffe,blue lion;red hippo;yellow giraffe;yellow lion,red giraffe;red camel;green hippo;blue hippo,35
red giraffe;green camel;red camel;blue hippo,yellow giraffe;blue camel;blue giraffe;green giraffe,red hippo;green lion;yellow camel;red lion,green hippo;yellow hippo;blue lion;yellow lion,0
blue lion;red giraffe;blue giraffe;green giraffe,green hippo;blue hippo;yellow lion;red hippo,green camel;blue camel;red camel;yellow giraffe,green lion;red lion;yellow camel;yellow hippo,298
blue giraffe;yellow camel;red hippo;yellow giraffe,yellow lion;red camel;green hippo;yellow hippo,green giraffe;blue lion;green camel;green lion,red giraffe;blue camel;red lion;blue hippo,82
blue hippo;green camel;blue camel;red lion,red camel;yellow lion;blue lion;yellow giraffe,green giraffe;green hippo;yellow hippo;blue giraffe,red hippo;green lion;yellow camel;red giraffe,39
blue lion;green giraffe;yellow camel;blue camel,green hippo;red giraffe;yellow giraffe;green lion,blue hippo;red lion;blue giraffe;red camel,green camel;yellow lion;yellow hippo;red hippo,22
yellow camel;yellow giraffe;blue hippo;red giraffe,red camel;blue camel;green lion;red lion,green giraffe;green hippo;yellow lion;red hippo,green camel;yellow hippo;blue giraffe;blue lion,623
yellow camel;blue lion;red hippo;yellow hippo,green hippo;red giraffe;blue hippo;green lion,yellow giraffe;blue giraffe;blue camel;red lion,red camel;green giraffe;green camel;yellow lion,1
yellow camel;blue hippo;yellow giraffe;red camel,blue lion;green camel;yellow lion;yellow hippo,green giraffe;red lion;blue giraffe;green lion,red hippo;blue camel;red giraffe;green hippo,0
yellow hippo;blue camel;red giraffe;green lion,blue hippo;green camel;blue lion;yellow camel,red lion;yellow lion;blue giraffe;yellow giraffe,green giraffe;red hippo;red camel;green hippo,0
green giraffe;red hippo;red giraffe;red camel,red lion;green hippo;blue giraffe;blue camel,blue hippo;yellow giraffe;yellow camel;green lion,yellow hippo;green camel;yellow lion;blue lion,4
red giraffe;green lion;green camel;red camel,yellow camel;red lion;red hippo;blue hippo,green hippo;yellow hippo;blue lion;blue camel,blue giraffe;yellow lion;yellow giraffe;green giraffe,0
green lion;yellow camel;yellow giraffe;yellow lion,green camel;yellow hippo;blue hippo;blue camel,blue giraffe;red lion;green hippo;green giraffe,red hippo;blue lion;red camel;red giraffe,0
green camel;yellow hippo;yellow giraffe;blue camel,red camel;yellow lion;red lion;yellow camel,red giraffe;green hippo;blue hippo;blue giraffe,green giraffe;red hippo;blue lion;green lion,24
red camel;red lion;green camel;green lion,blue hippo;blue lion;blue camel;yellow camel,green giraffe;red hippo;red giraffe;blue giraffe,green hippo;yellow giraffe;yellow hippo;yellow lion,62
yellow giraffe;red camel;green camel;red giraffe,blue camel;green lion;blue lion;yellow lion,blue hippo;green giraffe;yellow camel;red lion,red hippo;green hippo;yellow hippo;blue giraffe,26
yellow camel;green lion;red lion;green hippo,yellow lion;yellow hippo;yellow giraffe;red giraffe,blue lion;green camel;red camel;red hippo,blue camel;green giraffe;blue giraffe;blue hippo,328
green camel;red giraffe;blue hippo;red lion,green lion;red hippo;green hippo;yellow hippo,yellow lion;yellow camel;yellow giraffe;red camel,blue giraffe;green giraffe;blue camel;blue lion,16
green hippo;red giraffe;green camel;blue camel,yellow hippo;blue hippo;blue lion;red lion,green giraffe;yellow camel;red hippo;red camel,blue giraffe;green lion;yellow lion;yellow giraffe,77
red hippo;green lion;green giraffe;green camel,blue hippo;red giraffe;blue giraffe;red camel,red lion;blue lion;yellow lion;blue camel,yellow camel;yellow hippo;yellow giraffe;green hippo,49
red hippo;yellow lion;green camel;blue hippo,blue camel;blue lion;blue giraffe;red giraffe,yellow giraffe;yellow camel;green giraffe;green hippo,green lion;red camel;red lion;yellow hippo,0
yellow hippo;red hippo;red camel;yellow camel,red lion;blue hippo;yellow giraffe;blue camel,green giraffe;green camel;yellow lion;blue giraffe,red giraffe;green lion;blue lion;green hippo,40
blue camel;red lion;blue giraffe;yellow lion,red giraffe;red hippo;red camel;yellow camel,green lion;blue lion;yellow hippo;green hippo,blue hippo;yellow giraffe;green camel;green giraffe,6
green hippo;red hippo;red camel;green lion,yellow lion;yellow camel;blue camel;red lion,yellow giraffe;blue lion;green giraffe;blue hippo,red giraffe;green camel;blue giraffe;yellow hippo,13
blue lion;green hippo;red lion;blue giraffe,red camel;red giraffe;yellow giraffe;green lion,red hippo;yellow lion;yellow camel;green camel,green giraffe;blue hippo;blue camel;yellow hippo,0
green lion;red hippo;red lion;yellow camel,yellow giraffe;red giraffe;blue camel;green giraffe,yellow hippo;yellow lion;green camel;blue hippo,blue lion;green hippo;red camel;blue giraffe,56
red hippo;yellow hippo;red lion;blue hippo,yellow camel;green giraffe;yellow giraffe;yellow lion,red giraffe;red camel;green camel;blue camel,blue lion;green hippo;blue giraffe;green lion,3
green lion;green giraffe;green camel;yellow giraffe,blue giraffe;blue camel;red giraffe;yellow hippo,green hippo;yellow lion;red camel;blue lion,blue hippo;red lion;yellow camel;red hippo,0
red giraffe;yellow hippo;yellow lion;blue camel,green camel;green giraffe;red lion;red camel,yellow giraffe;yellow camel;green hippo;blue hippo,blue lion;green lion;blue giraffe;red hippo,36
green giraffe;red camel;green lion;green hippo,blue lion;yellow lion;green camel;yellow hippo,blue hippo;yellow giraffe;blue camel;red giraffe,red lion;yellow camel;blue giraffe;red hippo,5
yellow camel;red lion;blue camel;blue giraffe,red camel;red giraffe;green giraffe;blue lion,yellow giraffe;yellow lion;green lion;green camel,red hippo;blue hippo;yellow hippo;green hippo,323
green camel;yellow lion;red camel;blue lion,blue giraffe;blue hippo;yellow hippo;red giraffe,yellow camel;green hippo;yellow giraffe;green lion,blue camel;red lion;green giraffe;red hippo,0
red hippo;red camel;red lion;green giraffe,yellow hippo;red giraffe;green lion;yellow lion,yellow giraffe;blue giraffe;blue camel;green hippo,blue lion;green camel;blue hippo;yellow camel,10
green giraffe;blue giraffe;yellow camel;yellow lion,red lion;yellow hippo;blue hippo;blue lion,red camel;green lion;yellow giraffe;green hippo,blue camel;green camel;red hippo;red giraffe,27
green lion;blue giraffe;green camel;red giraffe,yellow lion;yellow giraffe;green giraffe;red camel,red hippo;blue lion;green hippo;blue hippo,blue camel;yellow camel;yellow hippo;red lion,4
yellow hippo;blue camel;blue lion;red giraffe,green lion;red lion;yellow lion;green camel,yellow giraffe;green hippo;yellow camel;blue giraffe,red hippo;green giraffe;red camel;blue hippo,16
red lion;red camel;yellow hippo;green camel,blue hippo;red hippo;green giraffe;blue lion,blue camel;red giraffe;blue giraffe;yellow lion,green hippo;yellow giraffe;green lion;yellow camel,87
blue giraffe;red lion;yellow giraffe;green giraffe,blue camel;green lion;red camel;yellow lion,yellow hippo;green hippo;red giraffe;blue lion,green camel;blue hippo;red hippo;yellow camel,3
blue lion;yellow lion;yellow hippo;blue hippo,red camel;red hippo;blue giraffe;blue camel,yellow camel;green camel;green lion;red giraffe,green giraffe;yellow giraffe;green hippo;red lion,56
blue camel;green hippo;green lion;red hippo,blue lion;green giraffe;yellow lion;red giraffe,blue giraffe;green camel;red camel;red lion,yellow camel;blue hippo;yellow giraffe;yellow hippo,164
yellow camel;green hippo;red hippo;blue giraffe,blue lion;red lion;yellow hippo;blue hippo,blue camel;green camel;yellow lion;green lion,green giraffe;red giraffe;red camel;yellow giraffe,41
green hippo;red giraffe;red hippo;green camel,green lion;red camel;blue giraffe;blue hippo,yellow hippo;yellow giraffe;yellow camel;red lion,blue camel;blue lion;yellow lion;green giraffe,4
green hippo;green camel;yellow hippo;yellow camel,green giraffe;blue hippo;green lion;red camel,blue giraffe;yellow giraffe;blue lion;yellow lion,red lion;red giraffe;blue camel;red hippo,14
green hippo;green lion;yellow hippo;green giraffe,yellow lion;red giraffe;blue camel;red camel,green camel;blue lion;blue hippo;red lion,yellow giraffe;red hippo;blue giraffe;yellow camel,16
red lion;green giraffe;yellow giraffe;red hippo,yellow camel;yellow lion;red camel;green hippo,green lion;blue hippo;blue lion;green camel,red giraffe;yellow hippo;blue camel;blue giraffe,0
green hippo;blue giraffe;green lion;yellow lion,blue hippo;red hippo;yellow hippo;blue lion,red camel;red lion;blue camel;green giraffe,yellow giraffe;yellow camel;green camel;red giraffe,6
yellow camel;red hippo;blue lion;red lion,green giraffe;blue hippo;green lion;red camel,yellow hippo;green hippo;blue camel;yellow lion,blue giraffe;red giraffe;green camel;yellow giraffe,10
blue camel;green camel;blue lion;red lion,red camel;red giraffe;yellow hippo;yellow giraffe,green hippo;blue giraffe;blue hippo;yellow camel,red hippo;green giraffe;yellow lion;green lion,141
yellow camel;blue camel;red giraffe;blue giraffe,red camel;green giraffe;green hippo;blue lion,yellow giraffe;green camel;yellow lion;blue hippo,green lion;red lion;red hippo;yellow hippo,247
